Tom Jobim e Chico Buarque                         ; Pois é
Tom Jobim e Vinicius                              ; Por toda minha vida
Francis Hime e Ruy Guerra                         ; Pouco me importa
Edu Lobo e Torquato Neto                          ; Pra dizer adeus
Tom Jobim e Chico Buarque                         ; Sabia
Sergio Ricardo                                    ; Puladinho
Luiz Bonfa e Antonio Maria.                       ; Samba de Orfeu
Francis Hime e Ol{Via Hime                        ; Santa Teresa
Tom Jobim e Vinicius de Moraes                    ; Se todos fossem iguais a vocé
Johnny Alf                                        ; “Seu” Chopin desculpe
Joao Donato e Abel Silva.                         ; Simples carinho
Orlann Divo e Elton Menezes                       ; Tamanco no samba
Toquinho e Vinicius de Moraes                     ; Tarde em Itapoa
Baden Powelle Vinicius de Moraes                  ; Tempo feliz
Mauricio Einhorn, Durval Ferreira e Bebeto        ; Tristeza de nés dois
Joao Donato e Abel Silva                          ; Verbos do amor
Marcos Valle e Paulo Sergio Valle                 ; Viola enluarada
Geraldo Pereira                                   ; Bolinha de papel
Roberto Guimaraes Iy                              ; Amor certinho
Tom Jobim e Vinicius de Moraes                    ; Amor em paz
Edu Lobo e Chico Buarque                          ; A mulher de cada porto
Ze Goncalves e Marino Pinto                       ; Aos pés da cruz
Toninho Horta e Fernando Brant                    ; Aqui, 0!
Tom Jobim                                         ; Cai atarde
Eumir Deodato                                     ; Baiaozinho
. Edu Lobo e Chico Buarque.                       ; Beatriz
Toninho Horta e Ronaldo Bastos                    ; Bons amigos
Tom Jobim e Vinicius de Moraes                    ; Caminho de pedra
Chico Feitosa e Marino Pinto                      ; Cancao do olhar amado
Tito Madi                                         ; Cansei de ilusoes
Tom Jobim                                         ; Chansong
Tom Jobim e Vinicius de Moraes                    ; Chega de saudade
Edu Lobo e Oduvaldo Vianna Filho Gp:              ; Cheganca
“Edu Lobo e Chico Buarque                         ; Choro bandido
Tito Madi                                         ; Chove 1a fora
Baden Powell e Lula Freire                        ; Cidade vazia
Miltinho, Mauricio Tapajos e Paulo Cesar Pinheiro ; De palavra em palavra
Tom Jobim e Vinicius de Moraes                    ; Derradeira primavera
Dorival Caymmi e Antonio Almeida =                ; Doralice
Ary Barroso e Luiz Peixoto -                      ; E luxo so
Carlos Lyra e Ruy Guerra                          ; Entrudo
Tom Jobim                                         ; Espelho das aguas
Geraldo Pereira                                   ; - Falsa baiana
Gilberto Gil                                      ; Flora
Tom Jobim                                         ; Fotografia
Herivelto Martins e Roberto Roberti               ; Isaura
Tom Jobim e Vinicius de Moraes                    ; Janelas abertas
Toninho Horta e Ronaldo Bastos                    ; Litoral
Sidney Miller                                     ; Maria Joana
Edu Lobo e Gianfrancesco Guarnieri                ; Memorias de Marta Saré
Oscar Castro Neves e Luvercy Fiorini Af           ; Menina feia
Luiz Antonio                                      ; Menina-moca
: Theo de Barros                                  ; Menino das laranjas
Sidney Miller                                     ; Meu violao
Tom Jobim e Vinicius de Moraes                    ; Modinha
Oscar Castro Neves e Luvercy Fiorini 5            ; Morrer de amor
Paulinho Da Viola =                               ; Nada de novo
Oscar Castro Neves e Ronaldo Boscoli              ; Nao faz assim
Pernambuco e Antonio Maria                        ; O amor e a rosa
“ Candinho e Lula Freire                          ; O mergulhador
Oscar Castro Neves e Luvercy Fiorini              ; Onde esta vocé
Silvio Cesar                                      ; O que eu gosto de voce
Edu Lobo e Capinam                                ; Ponteio
Ary Barroso                                       ; Pra machucar meu coracao
Silvio Cesar                                      ; Pra voce
Tito Madi e Georges Henry                         ; _Nao diga nao
Tom Jobim e Vinicius de Moraes                    ; Praia branca
Chico Feitosa                                     ; Recado a solidao
Dorival Caymmi                                    ; Rosa morena
Claudio Cartier, Paulo Cesar Feital e Carlao      ; Saigon
Toquinho, Chico Buarquee Vinicius de Moraes Aye   ; Samba de Orly
Tom Jobim                                         ; Samba do aviao
Tom Jobim                                         ; Tema de amor por Gabriela
Ian Guest e Vinicius de Moraes                    ; Tempo de solidao
Haroldo Barbosa e Geraldo Jacques                 ; Tintim por tintim
Paulinho Da Viola                                 ; Tudo se transformou
Joao de Aquino e Paulo Cesar Pinheiro             ; Viagem
